Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Cabo Verde,CPV,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,61.76802794,64.32991022,59.84533757,54.84664594,60.68530006,59.15864667,59.96217272,67.38035354,67.9984228,65.25786357,59.84175454,58.00988199
Costa Rica,CRI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,34.68267834,36.16667563,35.39722196,33.47476123,33.82832677,30.75790407,30.91838188,32.3092706,33.20683124,31.43520846,28.56967752,34.47457284
Estados pequeos del Caribe,CSS,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,,,,,
Cuba,CUB,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,17.72167641,21.85679084,20.35520433,20.22346658,17.19028963,14.46639046,12.28630842,11.67153669,12.56071964,10.60737905,7.514531634,
Curacao,CUW,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,88.3926786,99.77715559,103.4725429,91.94156023,88.4069126,80.29743872,76.71781187,,,,,
Islas Caimán,CYM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,,,,,43.41476672,45.52927309,45.35622817,46.21980197,
Chipre,CYP,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,58.72133059,57.321886,57.22534135,59.77984844,65.08862999,67.48550475,68.84391109,74.42301809,73.77337514,75.38046708,78.3048377,79.93687678
República Checa,CZE,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,62.48590613,67.04095169,70.88267001,70.36403543,75.6207076,74.61688537,71.47919071,71.50551299,71.01933299,67.90472697,64.16028626,69.52999298
Alemania,DEU,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,37.30315083,40.14898499,40.20693474,39.66019884,39.00083008,39.32548626,38.69638311,40.07416227,41.13336065,40.97542718,37.69165212,41.92672421
Djibouti,DJI,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,,,,191.4582142,140.9935517,122.9421488,109.3079735,155.8696049,143.7788116,154.2212566,107.3489621,
Dominica,DMA,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,53.56513391,52.85303488,51.41557244,48.89921213,65.10223842,60.46342783,57.15121287,61.75232035,77.76724437,,,
Dinamarca,DNK,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,43.57704925,47.42564656,48.61047632,48.2213221,47.65077691,48.630054,46.74284826,47.90201313,50.41519194,51.60746894,48.43070769,52.85935529
República Dominicana,DOM,Importaciones de bienes y servicios (% del PIB),NE.IMP.GNFS.ZS,33.32418387,34.80269059,33.80549602,31.51459739,30.34503269,28.40949542,27.67659173,26.54294008,28.50453508,27.94186288,25.99795939,30.98216499
